Görüş,Sentiment_Label
sesi yüksek. mikseri çalıştırırken yanında konuşurken kendinizi karşınızdakini duyamıyorsunuz.,tarafsız
firma farklı ürün gönderdi. eksi not....,tarafsız
öncede uzun süre kullandığım bir ürün,tarafsız
bugün ilk kullanıldı. ilk izlenim mükemmel olduğu yönünde.,tarafsız
i̇şletim sistemini kurup güncellemeleri aldığımda bozuldu.,tarafsız
"birçok kızartma yaptım patates olsun patlıcan olsun kabak olsun lezzetli oldu. size farklı pişirme seçenekleri sunuyor. üstelik temizlemesi bir kadar kolay, herkese tavsiye ederim.",tarafsız
fiyatına göre iyi bir ürün fazla beklemeyin.,tarafsız
şipariş ettiğim gün elime ulaştı.ancak sesi beğenmedim.,tarafsız
kullanmadım,tarafsız
"pratik, güzel bir ürün. çekiş gücü gayet iyi. benim tek yaşayanların ufak tefek işlerini rahat görüyor. tek handikapı b sınıfı olması, konuda takıntılı olduğum 4 puan veriyorum.",tarafsız
ürün garantiye gitti geldi şuan memnunum ancak mağaza berbat,tarafsız
hayir beğenmedi̇m bozuldu telefonu kaldirmiyorlar,tarafsız
1 günde eli̇me ulaşti bi̇ kaç gün kulanidiktan sonra yorum yapmak i̇stedi̇m.gerçekten şik bi̇r telefon önce lg g5 kullaniyordum memnunum öneri̇ri̇m.,tarafsız
ürün şimdilik bir sıkıntı bulunmuyor. fiyata iyisi olmaz. satıcının gönderdiği ürünün ambalajı savaştan çıkmış eski çürük ambalajlı ürün göndermiş.,tarafsız
görüntü olarak gayet güzel bir ürün. çaydanlık kısmı tam oturmadığı iade edeceğim malesef...,tarafsız
"arkadaşlar kesinlikle kumtel markasını tavsiye etmiyorum. servis 2 3 haftadan önce gelmiyor kurulum yapmaya. ben 5 gündür bekliyorum gelmeye niyetleri yok arıyorum defasında ""yoğunduk gelemedik, unuttuk bir sürü yalan söyleniyor. bende kendim takmaya karar verdim kurulum kadar bekletiyorlarsa garantisi olsa yazar ki? demek ürün garanti̇ye gi̇tse hi̇ç gelmeyecek :))))",tarafsız
plastik yazıyor plastik değil sanırım dimi yer çelik yazıyor plastik aldım şüpheye düştüm,tarafsız
sorunsuz tam zamaninda geldi.fiyat kalite tatminkar,tarafsız
olumlu yönleri: güzel şık fakat hassas kırılacak duruyor,tarafsız
patatesi bilmem köfteyi şahane yapıyo 👍,tarafsız
eh güzel orta dereceli,tarafsız
arkadaş ürün elime ulaşmadan saçma sapan yorum iatiyorsunu. ürün yok ortada. alın size yorum.,tarafsız
"ürünü çeyizime aldım, paketi açıp denedim hemen ısındı inşallah iyidir :)",pos
basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic tavsiye etmem,tarafsız
ürün elime gayet hızlı ulaştı. fiyatına göre kullanışlı iyi bir ürün,tarafsız
"kesilkle berbat bşr tablet oyun 100 mbli̇k oyun açtım tabletin ekranı sıcaklığından yanıyordu resmen.. kesinlikle kötü, para ekleyip başka bir model alın elinize kalır tablet !!",tarafsız
güzel bayıldım,tarafsız
fatura yok paketleme iyi değil,tarafsız
güzel ürün memnunum,tarafsız
kesinlikle beğenmedim,tarafsız
"beğenmedim ilk gömlek hamlesinde yapıştı anlıyacağınız gömlek yandı.bazilariniz derki ayarını yapamamış sındır ilk ütü yapmıyorum,",tarafsız
beklediğimden sessiz çalışması var onun dışında tecrübe edecek vaktim olmadı,tarafsız
urun güzel kapalıda plastik yerine metal olsaymış dahada güzel olurmuş...cok beğendim güzel urun,tarafsız
"ürün gayet güzel, fırçası tam istediğim gibi. bir sıkıntı yokta ürünü ambalajsız olarak göndermeleri oldukça ilginç. siteye olan güvenle ilgili sıkıntı yaratıyor. konuyla ilgili biraz dikkatli olunması gerekiyor bence.",tarafsız
"2400 wat çekiş gücü oldukça iyi ,suyu fazla koyunca ağzından dışarı atıyor dıkkat etmek lazım,makıneye göre diğer aksesuarları pek sağlam değil özellikle uzatma hortumu ıyı olabilirdir.tavsiye olunur...",tarafsız
"umduğum çıkmadı,reistansı kısa sürede bozuldu.",tarafsız
ürünü alalı 2 yıl oldu deneyimden sonra yorum yapayım dedim.ürün sert hamurlarda zayıf kalıyor clipsli üst kapak zayıf hemen kırılıyor .dışı plastik olduğu görüntüye aldanmayın sağlamlık hissi bende oluşmadı.az zorlamada bozulakmış motordan koku geliyor .kısacası mutfak şefi zayıf bir ürün zaten diğer hamurlar mikxerlede oluyor.daha verip sağlam bir ürün almadığıma üzülmedim değil.,tarafsız
hi̇zli̇ kargo guveni̇li̇r sati̇ci̇ tavsi̇ye ederi̇m,tarafsız
henüz kullanmadım paketleme gayet iyiydi. tatilde eşarplarımı ütülemek aldım memnun kalacağımı düşünüyorum.,tarafsız
avantajlar : fiyat<br />dezavantajlar : yok<br />ses kalitesi iyi.,tarafsız
i̇yi değil pahalı,tarafsız
"ürün dün elime ulaştı, ürünün çekim gücü güzel, el süpürgesi olarak kullanılabilmesi büyük bir avantaj, kullanırken keyif alacağınız hafif ergonomik bir ürün... tavsiye ederim...",tarafsız
"aletle ilgili iyi bir tarafı var diyemeyeceğim yazık ki!1-aşırı gürültülü eski teknoloji dizel motor gibi...2-ürünü yapanlar test etmediler galiba türk milleti nasılsa anlamaz demiş olmalılar kapağa uyduruk bir silikon monte etmişler.hazneye sadece 1/2 çay bardağı sıvı koyduğunuzda bile tezgahınızda batmadık yer kalmıyor.2-çok çabuk ısınıyor.4-doğrama kabiliyeti rezalet.neticede beş para etmez bir ürün,nasıl aldanıp ta aldım kendime kızıyorum....bu ürünü beğenen varsa önce gerçek bir doğrayıcı kullanmamıştır,",tarafsız
"ürün, çalışan bayanlar pratik.",tarafsız
leomanya satıcısından aldığım ürünler 10 günde minik bi kolide geldi süreyi gözardı edersek benim hoşlanmadığım durum kolinin içindekilerin eşek kadar kolinin üzerine yapıştırılması işyerine söylediğim siparişi durum rahatsız edici benim açımdan konuya satıcıların dikkat etmesi gerekiyor bence.,tarafsız
güzel ilgileniyorlar.,tarafsız
annem beğenmedi fırın kısmından memnun değil,tarafsız
phone 6 s 32 gb. ürunü beğendim.tavsiye ederim.,tarafsız
ürünün haznesi 800w olanlara kıyasla haliyle küçük.biraz teferrruatlı olsun diyorsan işini görmez.,tarafsız
beğenerek aldım ancak yerde durmaması kötü özellik. bir kontrol tuşları beyni su tankının altında duruyor. cihaz ayaktayken su doldur boşalt denemeleri yapıyorsanız sakın yerinden kıpırdamasın yoksa su mekanizmadan aşağı dökülüp beyin komut yerine gidiyor sevmediğim yönü bu. bunu kurnaz mühendisler bilerek yapmış. suyun buhara dönüştüğü yerin altına bilerek komut mekanizması yapmışlar!,tarafsız
fiyat açısından trendyoldan uyguna aldım harikalar yaratan bir ürüne sahip oldum,tarafsız
olumsuz yönleri: bi̇raz çaliştirinca motor koku yapiyor,tarafsız
18.10.18 tarihinde sipariş verdim. 22.10.18 teslim aldım. ürün özenle paketlenmiş.,tarafsız
i̇nternet sitenizden philip televizyon aldım.böyle bir yanlışlık yapılır bilmiyorum bana çi̇m biçme makinası göndermişsiniz.i̇lgili arkadaşlara teşekkürler....,tarafsız
fena değil. fanı çalışmıyor. yazıldığı değil.,tarafsız
"fıyata ürüne değmez. sakın aldanmayın.....buz kırcağı zaman sarsılıyor. sulu gıdalar örn: corba, krema, pankek harçı v kapağından dışarı sızıyor, yeri batırıyor kendini batırdığı gıbı tezgahı berbat ediyor. tek doğrama işini beceriyor ....... foto guzel gorunuyor plastik. berbat.!!!",tarafsız
"ürünü çeyizim aldım 1 günde elime ulaştı paketlemesi güzel. denerken kapağı oturmuyormuş oldu çevirmek gerekiyor şimdilik bir sorun yok, üretici firmaya teşekkürler.",tarafsız
touchpedi 3 metreden bile çalışmıyor verdiğim paraya yazik oldu. hızlı kargo paketlemesi sağlamdı,tarafsız
"indirimde almıştım, ceyiz olarak, beğendim.",tarafsız
sakın almayın laptoptan güzel s çıkıyor iade etmeye çalışıyorum edilmiyor bunlar resmen kandırıyorlar insanları. s ayarı var yazmışlar üründe s tuşu falan yok.,tarafsız
burada farki.urun zamaninda teslim...,tarafsız
"izgaraları kesinlikle yapışma yapmıyor, kısa sürede ısıtıyor. memnun kaldım.",tarafsız
ürün elime kırık şekilde geldi. kargocuya zabıt tuturmadıgım iade edemedim haliyle. böyle bi kargolama şekli olmaz ince bi sitreş sarılmıs sadece ürünü korıyacak bişey yok. kesinlikle önermiyorum...,tarafsız
"kullanışlı. annem babam 1'er tane aldım. torunları görüntülü konuşma yapıp resimli cuma mesajları gönderebilecekleri, fotoğraf çekebilecekleri, whatsapp'da yazışabilecekleri, candy crush oynayabilecekleri, navigasyon olarak kullanabilecekleri (navigasyon ilgili babamın yorumu şöyledir: ""bazen yanlış yerlere götürüyor yahu, benim hanım konuda güvenilir"") bi telefon. fazla program oyun yüklemezseniz sorun olmuyor. canım annem sürekli reklamlara tıkladığı bazen telefon yavaşlıyor, arada bir fabrika ayarlarına geri yüklüyoruz sorun kalmıyor. babam namaz vakitlerini takip ediyor. beklemeyin, parasının telefonu.",tarafsız
"biraz küçük işimizi görüyor, alınabilir",tarafsız
bilgisayar ilk geldiğinde içeriğinde kendi işletim sistemimizi yüklemeye yardımcı olacak bir yapıdaydı işletim sistemini ayarlama işlemini kalaylaştırmıştı. açıdan takdir edilebilir fakat kurulumları yapıp sistemi hazır hale getirdikten sonra sadece 3 hafta çalışabildi. 3. haftasında bilgisayar tamamen çöp haline geldi. enerji verdiğimiz halde monitöre hiçbir sinyal gelmiyordu artık bilgisayar kullnılamaz durumda. email hesaplarından satıcıya ulaşamıyoruz. ucuz etin yahnisi misali hurdalıkta duruyor şimdi. bize ders oldu.,tarafsız
hayır. saglam değildi düzgün paketlenmedi.,tarafsız
"ürün sağlam, teslimat hızlı",tarafsız
ürün anlatıldığı paketleme kargo güzeldi. güzel ürün tavsiye edilir.,tarafsız
5 yildir kullaniyorum aldigim 2 ci supurge makinasi . torbali supurge makinasi kullaniyorum arnica bora su filtreli makinanin yerini tutmuyor toz moz birakmiyor cook guzel makinayi uretenlere tesekkur ederim elleri dert gormesin....,tarafsız
şekil veremiyorsunuz mat görüntüsü var kesinlikle gün icinde hafif bir rüzgarda saçlarınız dağılacaktır,tarafsız
berbat ötesi bir fırın yeni evlendim aldım şık duruyordu e marka güzel güvenerek aldım pişman oldum😏 zırt pırt duruyor geç pişiriyor illallah ettik eşimle ben. şuan bende elden çıkarıyorum bir siteye koydum yerinede termi̇kel süper ötesi fırını aldı canım annem babam allah razı olsun onlardan fırını yapanlardan. i̇şte dedirtti bize canavar resmen canavar 😍😍😍,tarafsız
şimdi ürünü sipariş ettikten baya uzun bi süre sonra elime ulaştı yaklaşık 8 gün kargo kısmı biraz kötü. ürüne gelirsek 2+1 speaker ana hoparlör resmin ortasındaki hoparlör iyi değil özellikle bassı beyenmedim.sesi açınca cızırtılı s çıkıyor diğer küçük hoparlörlerden memnunum.kısacası almanızı pek tavsiye etmem.bu paraya deymez bunun yerine aynı fiyata 1+1 alın azından iyi perfornmans alırsınız.saygılar...,tarafsız
idare eder,tarafsız
s kalitesi iyi.,tarafsız
olumlu yönleri: tesekkur,tarafsız
güzel sadece fazla s çıkartıyor,tarafsız
tesekur ederim elinize sağlık hızlı kargo ürün güzel sessiz çalışıyor,tarafsız
s kalitesi kötü boğuk bir s geliyor 30 liraya değer :(,neg
fibere geçtikten sonra normal adsl2 olmuyor arkadaşlar sürekli takılmalar yaşanıyor. vdsl destekli bir modem almak gerekiyor. bende bunu aldım. artık rahatım kopma falan yaşamıyorum. usb dosya paylaşımı bile var :),pos
ürünün kayış kısmı görseldekinden farklı.,tarafsız
"ürün elime biraz önce geçti. açıkcası ilk başta sipariş verirken biraz ikilemde kalmıştım. şuanda iyi bir karar verdiğimi anladım. sızdırmayla ilgili fazla yorum vardı. bende herhangi bir sızdırma olayı olmadı. çayı suyu gayet sıcak tutuyor,bu yönü gerçekten hoşuma gitti. işıklandırmasıda bence güzel şık duruyor. almayı düşünenlere tavsiye ederim. fiyatı normale kalitesine göre gayet uygun.",tarafsız
ürün on numara güzel.,tarafsız
s kalitesi iyi ürün orjinal değil,tarafsız
paketleme kargolama iyi. ürüne ekran kartı taktıgımda ekran kartı dahili ekran kartı çalıştı kadar driverlarını indirip kurmayı denesemde olmadı son ekran kartını çıkarttım driverlar kuruldu ekran kartsız takılıyorum iyi oldugunu pek söyleyemem iş görür,tarafsız
yeterince iyi. ancak kurulum bilgileri sıfır.,tarafsız
"ürün güzel, tavsiye ederim.",tarafsız
ürünü 3gunde geldi beğendim burda teşekkürler samsung anlatmaya gerek yok,tarafsız
ısıtmıyor sakın almayın be pişman oldum 18000 but aldım er15 arıza verdi beko arçelik şaşmaz'ın deri yerli olarak,tarafsız
ürün önce elime geçti buradan aldım kargoyu zamanında yolladıkları teşekkür ediyorum ürün hayal kırıklığı pişman oldum malzeme kalitesi bana göre iyi değil çekiş gücü süpürdüğünü bile farketmiyorum diyeceğim kadar komşumun 1200w süpürgesi bundan güzel çektiğini söyleyebilirim yorumlara bakarak ürünümün arızalı oldugunu bile düşünüyorum yinede tavsiye etmiyorum,tarafsız
cok kullanışlı degil,tarafsız
kullanışlı .5 dakikada çay hazır😊,tarafsız
tavuk yolunmak isteyenlerin bir numaralı tercihi. mafetti beni,tarafsız
arkadaslar ben ikincisini aldım ürün gerçekten güzel alacak olana tavsiye ederim yanlız gönderilen kablo biraz kaliteli olsa iyi olurdu pek dayanıklı deyil cihaz yaklaşık tam olarak 8 saati buluyor dolması benim s3 neo telefonumu 4 diyelim 4 uncusu tam deil sarj ediyor,tarafsız
benim oğlum 6 yasında ben oğlum almak istiyorum bir sorum var cevaplayan olursa sevinirim köydeyiz oğlum teyzelerine halalarına arkadaşlarına kendi gidiyor orda oyun oynuyor sadece olduğunu öğrenmek bilekliği istiyorum oğlumu arayabiliyormuyum bileklik kolunda olduğunda kartmı takılıyor,tarafsız
"yaklaşık sekiz ay kullandıktan sonra yazıyorum. ürün vasat. kötü değil, iyinin altında. yenilerde üst kapaktaki oturması gereken yay istifa etti. kapak oturmuyor, dayanır vaziyette duruyor. kullanıma engel değil. idare eder.",pos
"kalitesiz bir ürün, bekarlar fiyatına göre uygun....",tarafsız
"2 gün önce sipariş verdim gün elime geçti,başta buarada olmak üzere ürünü gönderen femar elek.ev aletleri̇ fimasına nakliyesinde emeği geçen mng kargo çalışanlarına yürekten teşekkür ediyorum.siparişim tam,sağlam sorunsuz olarak teslim edildi.süpürgeyi hemen açıp denedik, emiş gücü şahane, sesi eski süpürgeye oranla bayağı sessiz, toz haznesinin 2,5 lt. olması avantaj kolay kolay dolmuyor,görselliği bambaşka uzun lafın kısası ben memnun kaldım,alacak olanlara tavsiye ederim,ilerisiniiii yaşayıp kullanıp görecez,eeee artık ,5 yildiz vermezsem haksizlik olur.",tarafsız
parasına göre iyi,tarafsız
"ürünü zamanında aldım, ancak ürün paketleme berbat, ürün mağazada rafta alınıp kargoya verilmiş kırılabilecek ürünlerde özenli paketlenmesi gerekir.",tarafsız
aldığım mor şampuanın kapağı kırılmış neredeyse yarışı dokulu şekilde gelmiş,tarafsız
ürün kaliteli eşim aldim tavsiye ederim,tarafsız
çabuk bozuldu fazla tozda almıyor aldigim a pismanim.,tarafsız
çocuklar uygun güzel,tarafsız
umduğum çıkmadı radyosu çekmiyo basit radyolar bile bundan güzel çekiyo hayal kırıklığı kadarını beklemiyordum paraya değmez,tarafsız
ürünü kullandım gayet memnunum,tarafsız
ürün cok kotu.kargo isi bir felaket hic bulasmayin.15 gunde zor geldi.davlumbaz kumandali degil icinden kumanda cikti.,tarafsız
schafer kahvecim gelcek a101e kullanan varmı köpüklü çikariyormu yardımcı olur musunuz,tarafsız
beğenmedim su akıtıyor,tarafsız
"ürünün ilk elime geçtiğinde 40 tl olan eski kulaklığımdan iyi bir s kalitesi beklemiştim fakat arada bir farkı duyamadım. ben kalitesiz kulaklık taka taka sağır oldum yada gerçekten fiyatına uygun performans göstermiyor kulaklık. s kalitesi benim ikinci planda kadar ödeyince insan bir beklentiye giriyor. i̇lk puanımı buradan kırdım. i̇kinci puanı tasarımdan kırıyorum. kulağa tam oturma hissini alamadım. düşecek emanet duruyor, fakat konuşuyormuş yapsam kafamı yan çevirsemde kulaklığı düşüremedim kulağımdan. bir telefona type-c dönüştürücü bağladığımda ilk seferde çalışmadı bir kaç tak çıkar yapınca çalışmaya başladı, anlık kalp krizi geçiriyordum telefonumda 3.5mm giriş yok. özetlemek gerekirse 3/5. 160a bunu alacağıma 40 50ye dandik bir tane alsaydım demedim değil.",tarafsız
kulaklık sipariş verdikden kısa bir süre sonra elime geçti gönderi hızlıydı kulaklığı öncede kullandığım özelliklerini biliyordum s kadar kaliteli değil fiyata iyi kaçırılmaması gereken bir fırsat eksi yönlerinden biride sesi dışarı vermesi...,tarafsız
olumsuz yönleri: aynı gün kargoya veriliyor evet on gündür hâlâ gelmedi.. bilgilendirme eksik. gelmeden iade ettik.,tarafsız
kagıt sacı var kalitesiz mazleme görüntü amaçlı sadece iş görecek degil,tarafsız
urun cok cabuk bozuluyor tavsiye etmem hatta arzumun ömrü 3 yıl tost makinesi rondo set su ısıtıcı kahvecmakinesi aldıysam bozuldu,tarafsız
güzel paketleme.üründe hata yok.tavsiye ederim.,tarafsız
olumlu yönleri: şarjı iyi deyil olumsuz yönleri: bazi uygulaması yazı güzel görünmüyor,tarafsız
"olumsuz yönleri: akakçe den aldığım mesajda 146,90 tl ücretsiz kargo yazıyor üzerine tıkladığımda 218,00tl fiyat.",tarafsız
kargo hızlı ürün kaliteli 👍,tarafsız
önce kettle kullandıysanız ilk başta biraz yadırgayabilirsiniz. plastik aksamlar kalitesiz gözüküyor çapaklar temizlenmemiş onun dışında i̇şgören bir çaydanlık demlik içinde süzgeç mevcut değil bilginiz olsun.,tarafsız
"10 dakika çalıştırdık, yorumlarda anlatılandan sonra beklediğim sessizlikte değil. iyi toz alıyor. hafif halılara öyle bir yapışıyor ki, hareket ettirmek zor, temizleyeceğiz hafif halıları?",tarafsız
pratik tatil 👍🏻,tarafsız
bir marketten 2 adet powerway marka 16gb usb bellek aldım bir tanesinden oldukça memnunum ancak diğeri aldığım günden beri sorunlu. bilgisayarımın usb girişine takıyorum s geliyor ancak bilgisayarımda görünmüyor. form sitelerinde bahsedilen yolların hepsini denedim çözüm bulamadım. ha iade etmedin bir soru gelirse alışveriş fişini bulamadım sebeple iade edemedim.,pos
ürünün kuvveti sebeple bir sıkacaksanız biraz uzun sürebilir yavaş iade ettim sebeple,tarafsız
hızlı kargo. çekim gücü güzel. umarım ilerleyen zamanlarda gücü düşmez,tarafsız
hızlı deyil....,tarafsız
ürünü farklı bi siteden almıştım. kesinlikle tavsiye etmem. kalitesiz bi ürün. plastiği sıcaktan eriyor. izgarasının kulpu kırıldı✍🏾. düğmesi bozuldu. kısaca çöp oldu,tarafsız
açma kapama tuşu kötü su koyulacak yer dar tutacak bükülmediğinden su koymak zor ş süs yapılmış kullanısli degil,tarafsız
"buharı iyi, kırışık azaltması etkili. tavsiye ediyorum. pişman etmeyen bir ürün.",tarafsız
ürünü aldım kullanıyorum s yapıyor birçok özellik yazmışlar süslemişler parayı hak etmiyor almayın tavsiye etmiyor salonun bir köşesinde süs niyetine durucak.,pos
olumlu yönleri: mutfakta bir kenarda el altında olması hayatımı kolaylaştırdı..ince halımı havaya kaldıracak kadar güçlü. öncesinde anneme hediye almıştım memnun kaldı. haznesi doldukça boşaltıyorum. hiçbir sorun yaşamadım.,tarafsız
son ayarda çalıştırmama rağmen yağ yeterince ısınmıyor patates yağ çekiyor.ayrıca ürün faturası yok.,tarafsız
klavye çalışıyor. fakat mouse bozuk çıktı. yaptıysam çalışmıyor. ayrıca hediye mouse pad kat kat kırışmış. i̇şlevselliğini kaybetmiş. ayrıca mouse pad göndermeseniz iyiymiş. hayatımda kadar dandik görmedim. ciddi anlamda parasını haketmiyor. sırf klavye lazım iade etmedim. kesinlikle ürünü mağazayı önermiyorum. hayal kırıklığı...,tarafsız
firinda turbo fan yok. buna di̇kkat ederek alin!,pos
telefonu alalı yaklaşık bir sene oluyor (mi 5 prime )açık konuşmak gerekirse ilk bir kaç ay dan sonra memnun değilim sebepleri ;şarz konusunda ful iken online oyun oynamaya başlarsanız iki saatin sonra komple şarz bitmiş oluyor bana yarım gün anca yetiyor oyun oynayanlara kesinilikle tavsiye etmem hızlı şarz vardı evet dediğim alalı bir sene oldu suanda sarz fullenmesi yaklaşık 5 6 saat sürüyor evet yanlış duymadınız yanınızda sürekli powerbank gezmek zorunda kalırsınız bir diğer sebep telefon kendi kendine kapanıyor zaman zaman ön kamerası berbat arka kamerada gideri var hafızasına gelince sözüm yok gerçekten benim 64 gb onlarca uygulama yüklememe rağmen bi kadar yüklerim düşünüyorum kısacası olumlu yönleri hafızası görüntüsü s kalitesi oyun grafikleri hızlı olması olumsuz yönleride dediğim şarz ın cabuk bitip geç dolması ara ara kapanması kamerasışunu söyliyim özellik olarak ıphone kıyaslanır samsung kıyaslamnız imkansız,tarafsız
başarısız bir ürün memnun değilim,tarafsız
ürünü boş kutunun içine koymuşlar savrulmuş savrulmuş insan biraz düzgün paketler sabitler taaa 1500 km gelecek malzemeye değer vererek kargolar,tarafsız
hızlı teslimat mükemmel bir ürün teşekkürler 👏,tarafsız
evet güzel iyi,tarafsız
fazla paraya gerek yok. memnun etti. harika,tarafsız
"harika bir ürün, kesinlikle tavsiye ederim :)",pos
06.06.2018 ürünü sipariş ettim tahmini kargoya veriliş tarihi 08.06.2018 olmasına rağmen bugün 12.06.2018 ürün hala gelmedi. birdaha bestkalite den ürün almak aslaaaaa..,tarafsız
