Phrase,Label
Avantajlar  TASARIMbr Dezavantajlar  YUKSEK SESTE ACINCA BIRAZ BOZULMAbr COK YUKSEK SES ILE DINLENILDIGINDE SESI BIRAZ BOZUYOR BU DA DINLEME KALITESINI OLUMSUZ ETKILIYOR TABI BU OLUMSUZ DURUM DINLEDIGINIZ MUZIK TURUNE DE BAGLI FIYATINDAN DA ANLASILACAGI GIBI GENEL OLARAK ORTA SEVIYE BIR SES SISTEMI,Tarafsız
"Urunu montaj yapsalar anlayacagim nasil ya Aras kargo gec getirdi  Ben
 gun once aldigim urunden hala montaj bekliyorum ",Tarafsız
Bilesenlerin hepsi li yillardan kalma tavsiye etmem,Olumsuz
"Urun de sikinti yok fakat ucretsiz kargo olarak siparis verdik kargo
ucreti aldilar ugrasmak da istemiyorum demek ki  lira magaza icin
degerli bir para",Olumsuz
Tesekkur ediyorum urun cok guzel ve kargo kosa surede ulastiInternetten almada terettut etmistim ama sikinti yasamadim cihaz  yil Apple  Turkiye garantili tavsiye ederim,Olumlu
Goruntu estetik gayet guzel guzel is gorecegine eminim ama dis malzemesi biraz daha kaliteli tutulabilirdi Cok tel masa duruyor,Tarafsız
"guzel urun keske gri metal renkli olsaydi sapi daha guzel olurdu siyah
cikti bundan haric urun guzel tesekkurler",Olumlu
 yildir kullaniyorum ama yok tutma yeri kirildi yok borusu yarildi diyenleri anlayamiyorum nasil bir supurme sekilleri var cozemedim  sans isi birazdatamam biraz daha hassas bir makinehassas derken sonucta kumandali dijital gostergeli bir tutma yeri var nasil  TV kumandasina ozen gosteyirsaniz buda oyle bu supurgenin bir ust modelini anneme aldik gece mavisi olani su LEDli olanalmaz olaydik berbat cekmiyor ve cok cok hassas haliya yapismiyor bile cektimi cekmedi ki  diye supurgenin yuzune bakiyoruz kendine hayri yok,Olumlu
"calisma suresinin kisaligi beni sasirtti bu da motor gucunun zayifligini
gosterir sanirim",Tarafsız
Urun fena degil ama renkleri bana soluk geldi,Tarafsız
urun tam istedigim gibi degil ama idare ederpisirme suresi baya uzun oldu ayni yagla tencerede yapsaniz daha cabuk olurdu,Olumsuz
fiyati da kullanisi da cok iyi,Olumlu
Sesi cok yuksek Mikseri calistirirken yaninda konusurken kendinizi de karsinizdakini de duyamiyorsunuz,Tarafsız
Firma farkli urun gonderdi eksi not,Olumsuz
Daha oncede uzun sure kullandigim bir urun,Olumlu
bugun ilk defa kullanildi  ilk izlenim mukemmel oldugu yonunde,Olumlu
Isletim sistemini kurup guncellemeleri aldigimda bozuldu,Olumsuz
Bircok kez kizartma yaptim patates olsun patlican olsun kabak olsun ve hepsi cok lezzetli oldu Size farkli pisirme secenekleri sunuyor Ustelik temizlemesi de bir o kadar kolay herkese tavsiye ederim,Olumlu
fiyatina gore iyi bir urun fazla birsey beklemeyin,Tarafsız
Siparis ettigim gun elime ulastiancak sesi cok begenmedim,Olumsuz
kullanmadim daha,Tarafsız
Pratik guzel bir urun Cekis gucu gayet iyi Benim gibi tek yasayanlarin ufak tefek islerini cok rahat goruyor Tek handikapi B sinifi olmasi o konuda takintili oldugum icin  puan veriyorum,Olumlu
Urun garantiye gitti geldi suan icin memnunum ancak magaza berbat,Olumsuz
HAYIR BEGENMEDIM BOZULDU VE TELEFONU KALDIRMIYORLAR,Olumsuz
 GUNDE ELIME ULASTI BI KAC GUN KULANIDIKTAN SONRA YORUM YAPMAK ISTEDIMGERCEKTEN SIK BIR TELEFON DAHA ONCE LG G KULLANIYORDUM MEMNUNUM ONERIRIM,Olumlu
"Urun ile simdilik bir sikinti bulunmuyor Bu fiyata daha iyisi olmaz
Ama saticinin gonderdigi urunun ambalaji savastan cikmis gibi eski curuk
ambalajli urun gondermis",Olumsuz
Goruntu olarak gayet guzel bir urun Ama caydanlik kismi tam oturmadigi icin iade edecegim malesef,Olumsuz
"Arkadaslar kesinlikle KUMTEL markasini tavsiye etmiyorum Servis  
haftadan once gelmiyor kurulum yapmaya Ben  gundur bekliyorum ve
gelmeye niyetleri yok ariyorum her defasinda yogunduk gelemedik
unuttuk gibi bir suru yalan soyleniyor Bende kendim takmaya karar
verdim eger kurulum icin bu kadar bekletiyorlarsa garantisi olsa ne
yazar ki Demek ki urun GARANTIYE GITSE DAHA HIC GELMEYECEK ",Olumsuz
Plastik yaziyor ama plastik degil sanirim dimi her yer de celik yaziyor siz de plastik aldim ama supheye dustum,Olumsuz
Sorunsuz tam zamaninda geldifiyat kalite tatminkar,Olumlu
Olumlu yonleri Guzel sik fakat cok hassas kirilacak gibi duruyor,Olumlu
Patatesi bilmem ama kofteyi sahane yapiyo ,Olumlu
eh guzel orta dereceli,Olumlu
"Arkadas urun elime ulasmadan sacma sapan yorum iatiyorsunu Urun yok
ortada Alin size yorum",Olumsuz
Urunu ceyizime aldim paketi acip denedim hemen isindi insallah iyidir ,Olumlu
"basit bi urun zaten kutuyu actigimda tekeri yerinden cikmisti hic
tavsiye etmem",Olumsuz
Urun elime gayet hizli ulasti Fiyatina gore kullanisli iyi bir urun,Olumlu
"Kesilkle berbat bsr tablet oyun  MbLIK OYUN actim ve tabletin ekrani sicakligindan yaniyordu resmen
Kesinlikle kotu para ekleyip baska bir model alin elinize kalir bu tablet ",Olumsuz
Cok cok guzel bayildim,Olumlu
Fatura yok paketleme iyi degil,Olumsuz
Guzel urun cok memnunum,Olumlu
Kesinlikle begenmedim,Olumsuz
"hic begenmedim ilk gomlek hamlesinde yapisti anliyacaginiz gomlek
yandibazilariniz derki ayarini yapamamis sindir ama ilk defa utu yapmiyorum",Olumsuz
"Bekledigimden daha sessiz calismasi var onun disinda tecrube edecek
vaktim olmadi",Olumlu
"urun cok guzel kapalida plastik yerine metal olsaymis dahada guzel
olurmuscok begendim guzel urun",Olumlu
urun gayet guzel fircasi tam istedigim gibi bir sikinti yokta urunu ambalajsiz olarak gondermeleri oldukca ilginc siteye olan guvenle ilgili sikinti yaratiyor bu konuyla ilgili biraz daha dikkatli olunmasi gerekiyor bence,Tarafsız
 wat cekis gucu oldukca iyi suyu fazla koyunca agzindan disari atiyor dikkat etmek lazimmakineye gore diger aksesuarlari pek saglam degil ozellikle uzatma hortumu daha iyi olabilirdirtavsiye olunur,Olumlu
Umdugum gibi cikmadireistansi kisa surede bozuldu,Olumsuz
"Urunu alali  yil oldu birkac deneyimden sonra yorum yapayim dedimUrun
sert hamurlarda zayif kaliyor clipsli ust kapak cok zayif ve hemen
kiriliyor Disi plastik oldugu icin goruntuye aldanmayin saglamlik hissi
bende olusmadiAz zorlamada sanki bozulakmis gibi ve motordan koku
geliyor kisacasi mutfak sefi icin zayif bir urun zaten diger hamurlar
mikxerlede oluyorDaha cok verip daha saglam bir urun almadigima
uzulmedim degil",Tarafsız
HIZLI KARGO GUVENILIR SATICI TAVSIYE EDERIM,Olumlu
Henuz kullanmadim ama paketleme gayet iyiydi Tatilde esarplarimi utulemek icin aldim memnun kalacagimi dusunuyorum,Olumlu
Avantajlar  fiyatbr Dezavantajlar  yokbr ses kalitesi cok iyi,Tarafsız
Iyi degil pahali,Olumsuz
Urun dun elime ulasti urunun cekim gucu guzel el supurgesi olarak da kullanilabilmesi buyuk bir avantaj kullanirken keyif alacaginiz hafif ve ergonomik bir urun tavsiye ederim,Olumlu
Bu aletle ilgili iyi bir tarafi var diyemeyecegim ne yazik kiAsiri gurultulu eski teknoloji dizel motor gibiUrunu yapanlar hic test etmediler galiba Turk milleti nasilsa anlamaz demis olmalilar ki kapaga uyduruk bir silikon monte etmislerHazneye sadece  cay bardagi sivi koydugunuzda bile tezgahinizda batmadik yer kalmiyorcok cabuk isiniyorDograma kabiliyeti rezaletNeticede bes para etmez bir urunnasil aldanip ta aldim kendime cok kiziyorumBu urunu begenen varsa daha once gercek bir dograyici kullanmamistir,Olumsuz
Urun calisan bayanlar icin cok pratik,Olumlu
leomanya saticisindan aldigim urunler  gunde minik bi kolide geldi sureyi gozardi edersek benim hoslanmadigim durum kolinin icindekilerin esek kadar kolinin uzerine yapistirilmasi isyerine soyledigim icin siparisi bu durum rahatsiz edici benim acimdan bu konuya saticilarin dikkat etmesi gerekiyor bence,Olumsuz
Guzel  ilgileniyorlar,Olumsuz
Annem cok begenmedi firin kismindan memnun degil,Tarafsız
phone  s  gb urunu begendimTavsiye ederim,Olumlu
urunun haznesi w olanlara kiyasla haliyle kucukbiraz daha teferrruatli birsey olsun diyorsan isini gormez,Tarafsız
Begenerek aldim ancak yerde durmamasi kotu ozellik Bir de kontrol tuslari ve tum beyni su tankinin altinda duruyor Cihaz ayaktayken su doldur bosalt denemeleri yapiyorsaniz sakin yerinden kipirdamasin yoksa su mekanizmadan asagi dokulup beyin komut yerine gidiyor En Sevmedigim Yonu bu Bunu kurnaz muhendisler bilerek yapmis Suyun buhara donustugu yerin altina bilerek komut mekanizmasi yapmislar,Tarafsız
Hem fiyat acisindan trendyoldan daha uyguna aldim hem de harikalar yaratan bir urune sahip oldum,Olumlu
Olumsuz yonleri BIRAZ CALISTIRINCA MOTOR KOKU YAPIYOR,Olumsuz
 tarihinde siparis verdim  teslim aldim Urun ozenle paketlenmis,Tarafsız
Internet sitenizden Philips televizyon aldimBoyle bir yanlislik nasil yapilir bilmiyorum ama bana CIM bicme makinasi gondermissinizIlgili arkadaslara tesekkurler,Olumsuz
Fena degil Fani calismiyor Yazildigi gibi degil,Olumsuz
bu fiyata bu urune degmez sakin aldanmayinbuz kircagi zaman sarsiliyor sulu gidalar orn corba krema pankek harci vs  kapagindan disari siziyor her yeri batiriyor kendini batirdigi gibi tezgahi da berbat ediyor tek dograma isini beceriyor  foto da guzel gorunuyor ama plastik   Berbat,Olumsuz
Urunu ceyizim icin aldim  gunde elime ulasti paketlemesi guzel Denerken kapagi oturmuyormus gibi oldu ama cevirmek gerekiyor simdilik bir sorun yok uretici firmaya tesekkurler,Olumlu
Touchpedi  metreden bile calismiyor verdigim paraya yazik oldu hizli kargo ve paketlemesi saglamdi,Olumsuz
indirimde almistim  ceyiz olarak begendim,Olumlu
Sakin almayin laptoptan daha guzel ses cikiyor iade etmeye calisiyorum edilmiyor bunlar resmen kandiriyorlar insanlari Ses ayari var yazmislar urunde ses tusu falan da yok,Olumsuz
hepsi burada farkiurun zamaninda teslim,Tarafsız
Izgaralari kesinlikle yapisma yapmiyor kisa surede isitiyor Cok memnun kaldim,Olumlu
"urun elime kirik sekilde geldi kargocuya zabit tuturmadigim icin iade
edemedim haliyle boyle bi kargolama sekli olmaz ince bi sitres sarilmis
sadece urunu koriyacak bisey yok kesinlikle onermiyorum",Olumsuz
kullanisli annem ve babam icin er tane aldim torunlari ile goruntulu konusma yapip resimli cuma mesajlari gonderebilecekleri fotograf cekebilecekleri whatsappda yazisabilecekleri candy crush oynayabilecekleri  navigasyon olarak kullanabilecekleri navigasyon ile ilgili babamin yorumu soyledir bazen yanlis yerlere goturuyor yahu benim hanim bu konuda daha guvenilir bi telefon cok fazla program ve oyun yuklemezseniz sorun olmuyor canim annem surekli reklamlara tikladigi icin bazen telefon yavasliyor arada bir fabrika ayarlarina geri yukluyoruz sorun kalmiyor babam da namaz vakitlerini takip ediyor cok sey beklemeyin parasinin telefonu,Olumlu
Biraz kucuk ama isimizi goruyor alinabilir,Olumlu
Bilgisayar ilk geldiginde iceriginde kendi isletim sistemimizi yuklemeye yardimci olacak bir yapidaydi ve isletim sistemini ayarlama islemini cok kalaylastirmisti Bu acidan takdir edilebilir fakat tum kurulumlari yapip sistemi hazir hale getirdikten sonra sadece  hafta calisabildi  haftasinda bilgisayar tamamen cop haline geldi Enerji verdigimiz halde monitore hicbir sinyal gelmiyordu ve artik bilgisayar kullnilamaz durumda Email hesaplarindan da saticiya ulasamiyoruz Ucuz etin yahnisi misali hurdalikta duruyor simdi Bize ders oldu,Olumsuz
Hayir Saglam degildi veya duzgun paketlenmedi,Olumsuz
Urun saglam teslimat hizli,Olumlu
"urun anlatildigi gibi ve paketleme kargo hepsi cok guzeldi guzel urun
tavsiye edilir",Olumlu
" yildir kullaniyorum bu aldigim  ci supurge makinasi 
torbali supurge makinasi kullaniyorum ama arnica bora su filtreli makinanin yerini  tutmuyor toz moz birakmiyor cook guzel bu makinayi uretenlere tesekkur ederim elleri dert gormesin",Olumlu
Sekil veremiyorsunuz ama mat goruntusu var kesinlikle gun icinde hafif bir ruzgarda saclariniz dagilacaktir,Olumsuz
Berbat otesi bir firin yeni evlendim aldim cok sik duruyordu e marka guzel guvenerek aldim pisman oldum zirt pirt duruyor cok cok gec pisiriyor illALLAH ettik esimle ben Suan bende elden cikariyorum bir siteye koydum yerinede TERMIKEL super otesi firini aldi canim annem ve babam ALLAH razi olsun onlardan ve bu firini yapanlardan Iste bu dedirtti bize canavar resmen canavar ,Olumsuz
"Simdi urunu siparis ettikten baya uzun bi sure sonra elime ulasti yaklasik  gun kargo kismi biraz kotu
Urune gelirsek  speaker ama ana hoparlor yani resmin ortasindaki hoparlor hic iyi degil ozellikle bassi hic beyenmedimSesi cok acinca cok cizirtili ses cikiyor ama diger kucuk hoparlorlerden memnunumKisacasi almanizi pek tavsiye etmemBu paraya hic deymez bunun yerine ayni fiyata  alin en azindan daha iyi perfornmans alirsinizSaygilar",Olumsuz
idare eder,Olumsuz
Ses kalitesi cok iyi,Tarafsız
Olumlu yonleri Tesekkur,Olumlu
Guzel sadece cok fazla ses cikartiyor,Olumlu
tesekur ederim elinize saglik hizli kargo urun guzel ve sessiz calisiyor,Olumlu
Ses kalitesi kotu boguk bir ses geliyor  liraya deger ,Olumsuz
fibere gectikten sonra normal adsl ile olmuyor arkadaslar surekli takilmalar yasaniyor vdsl destekli bir modem almak gerekiyor bende bunu aldim artik rahatim kopma falan yasamiyorum usb dosya paylasimi bile var ,Tarafsız
urunun kayis kismi gorseldekinden farkli,Tarafsız
Urun elime biraz once gecti Acikcasi ilk basta siparis verirken biraz ikilemde kalmistim Ama suanda iyi bir karar verdigimi anladim Sizdirmayla ilgili cok fazla yorum vardi Bende herhangi bir sizdirma olayi olmadi Cayi ve suyu gayet sicak tutuyorbu yonu gercekten cok hosuma gitti Isiklandirmasida bence guzel ve sik duruyor Almayi dusunenlere tavsiye ederim Fiyati da normale ve kalitesine gore gayet uygun,Olumlu
urun on numara guzel,Olumlu
Ses kalitesi iyi ama urun orjinal degil,Olumsuz
paketleme ve kargolama iyi urune ekran karti taktigimda ekran karti ve dahili ekran karti calisti ne kadar cok driverlarini indirip kurmayi denesemde olmadi en son ekran kartini cikarttim ve driverlar kuruldu ekran kartsiz takiliyorum cok iyi oldugunu pek soyleyemem ama is gorur,Tarafsız
Yeterince iyi Ancak kurulum bilgileri sifir,Tarafsız
Urun guzel tavsiye ederim,Olumlu
Urunu  gunde  geldi begendim hepsi burda ya tesekkurler samsung anlatmaya gerek yok,Olumlu
isitmiyor sakin almayin be cok pisman oldum  but aldim Er ariza verdi  Beko Arcelik Sasmazin deri yerli olarak,Tarafsız
urun az once elime gecti buradan aldim kargoyu zamaninda yolladiklari icin tesekkur ediyorum ama urun hayal kirikligi cok pisman oldum malzeme kalitesi bana gore iyi degil cekis gucu supurdugunu bile farketmiyorum diyecegim kadar komsumun w supurgesi bundan guzel cektigini soyleyebilirim yorumlara bakarak urunumun arizali oldugunu bile dusunuyorum ama yinede tavsiye etmiyorum,Olumsuz
Cok kullanisli degil,Olumsuz
Cok kullanisli  dakikada cay hazir,Olumlu
Tavuk gibi yolunmak isteyenlerin bir  numarali tercihi mafetti beni,Olumsuz
Arkadaslar ben ikincisini aldim urun gercekten guzel alacak olana tavsiye ederim yanliz gonderilen kablo biraz daha kaliteli olsa iyi olurdu pek dayanikli deyil ama cihaz yaklasik tam olarak  saati buluyor dolmasi ve benim s neo Telefonumu  defa gibi diyelim cunku   uncusu tam deil sarj ediyor,Tarafsız
"Benim oglum  yasinda ben oglum icin almak istiyorum ama bir sorum var cevaplayan biri olursa sevinirim 
Biz koydeyiz ve oglum teyzelerine halalarina arkadaslarina kendi gidiyor orda oyun oynuyor sadece nerde oldugunu ogrenmek icin bu bilekligi istiyorum yani oglumu arayabiliyormuyum bileklik kolunda oldugunda ve  nasil kartmi takiliyor",Olumsuz
Yaklasik sekiz ay kullandiktan sonra yaziyorum Urun vasat Cok kotu degil ama iyinin de az altinda Yenilerde ust kapaktaki oturmasi gereken yay istifa etti Kapak oturmuyor dayanir vaziyette duruyor Kullanima engel degil Idare eder,Tarafsız
kalitesiz bir urun bekarlar icin fiyatina gore uygun,Tarafsız
 gun once siparis verdim bu gun elime gectiBasta hepsi buarada olmak uzere urunu gonderen FEMAR ELEKEV ALETLERI fimasina ve nakliyesinde emegi gecen MNG kargo calisanlarina yurekten tesekkur ediyorumsiparisim tamsaglam ve sorunsuz olarak teslim edildisupurgeyi hemen acip denedik emis gucu sahane sesi ise eski supurgeye oranla bayagi sessiz toz haznesinin  lt olmasi avantaj kolay kolay dolmuyorgorselligi ise bambaska yani uzun lafin kisasi ben memnun kaldimalacak olanlara tavsiye ederimilerisiniiii yasayip kullanip gorecezEEEE artik  YILDIZ VERMEZSEM HAKSIZLIK OLUR,Olumlu
Parasina gore iyi,Tarafsız
"Urunu zamaninda aldim ancak Urun paketleme berbat urun magazada rafta
alinip kargoya verilmis kirilabilecek urunlerde daha ozenli paketlenmesi gerekir",Tarafsız
"Aldigim mor sampuanin kapagi kirilmis ve neredeyse yarisi dokulu sekilde
gelmis",Olumsuz
Urun cok kaliteli esim icin aldim tavsiye ederim,Olumlu
Cabuk bozuldu fazla tozda almiyor aldigim a pismanim,Tarafsız
Cocuklar icin uygun guzel,Tarafsız
"umdugum gibi cikmadi radyosu hic cekmiyo basit radyolar bile bundan
guzel cekiyo  hayal kirikligi bu kadarini beklemiyordum bu paraya degmez",Olumsuz
Urunu kullandim gayet memnunum,Olumlu
Urun cok kotukargo isi bir felaket hic bulasmayin gunde zor geldidavlumbaz kumandali degil ama icinden kumanda cikti,Olumsuz
Schafer kahvecim gelcek Ae  kullanan varmi  nasil  kopuklu cikariyormu yardimci olur musunuz,Olumsuz
Begenmedim su akitiyor,Olumsuz
Urunun ilk elime gectiginde  tl olan eski kulakligimdan cok daha iyi bir ses kalitesi beklemistim fakat arada bir farki duyamadim Ya ben kalitesiz kulaklik taka taka sagir oldum yada gercekten fiyatina uygun performans gostermiyor bu kulaklik Ses kalitesi benim icin ikinci planda ama bu kadar odeyince de insan bir beklentiye giriyor Ilk puanimi buradan kirdim Ikinci puani ise tasarimdan kiriyorum Kulaga tam oturma hissini alamadim Sanki dusecek gibi emanet duruyor fakat konusuyormus gibi yapsam da kafami yan cevirsemde kulakligi dusuremedim kulagimdan Bir de telefona typec donusturucu ile bagladigimda ilk seferde calismadi bir kac kez tak cikar yapinca calismaya basladi anlik kalp krizi geciriyordum cunku telefonumda mm giris yok Ozetlemek gerekirse  a bunu alacagima  ye dandik bir tane alsaydim demedim degil,Tarafsız
kulaklik siparis verdikden kisa bir sure sonra elime gecti gonderi cok hizliydi kulakligi daha oncede kullandigim icin ozelliklerini biliyordum ses o kadar kaliteli degil ama bu fiyata cok iyi kacirilmamasi gereken bir firsat eksi yonlerinden biride sesi disari vermesi,Tarafsız
Olumsuz yonleri Ayni gun kargoya veriliyor evet ama on gundur hâlâ gelmedi  bilgilendirme cok eksik gelmeden iade ettik,Olumsuz
"kagit gibi saci var  cok kalitesiz mazleme  goruntu amacli sadece is
gorecek gibi degil",Olumsuz
Urun cok cabuk bozuluyor tavsiye etmem hatta arzumun omru  yil tost makinesi rondo set su isitici kahvecmakinesi ne aldiysam bozuldu,Olumsuz
guzel paketlemeurunde hata yoktavsiye ederim,Olumlu
"Olumlu yonleri sarji cok iyi deyil

Olumsuz yonleri bazi uygulamasi yazi cok guzel gorunmuyor",Olumsuz
Olumsuz yonleri AKAKCE den aldigim mesajda  TL Ucretsiz kargo yaziyor Uzerine tikladigimda TL Fiyat,Olumsuz
Kargo hizli urun kaliteli ,Olumlu
"Eger daha once kettle kullandiysaniz ilk basta biraz
yadirgayabilirsiniz plastik aksamlar kalitesiz gozukuyor capaklar
temizlenmemis ama onun disinda Isgoren bir caydanlik demlik icinde
suzgec mevcut degil bilginiz olsun",Tarafsız
" dakika calistirdik yorumlarda anlatilandan sonra bekledigim
sessizlikte degil  cok iyi toz aliyor hafif halilara oyle bir
yapisiyor ki hareket ettirmek cok zor nasil temizleyecegiz biz bu
hafif halilari",Olumlu
Cok pratik tatil icin ,Olumlu
Bir marketten  adet Powerway marka gb usb bellek aldim bir tanesinden oldukca memnunum ancak digeri aldigim gunden beri sorunlu Bilgisayarimin usb girisine takiyorum ses geliyor ancak bilgisayarimda gorunmuyor form sitelerinde bahsedilen yollarin hepsini denedim ama cozum bulamadim ha neden iade etmedin diye bir soru gelirse alisveris fisini bulamadim bu sebeple iade edemedim,Olumsuz
Urunun kuvveti az bu sebeple bir sey sikacaksaniz biraz uzun surebilir cok yavas iade ettim bu sebeple,Olumsuz
Hizli kargo Cekim gucu cok guzel Umarim ilerleyen zamanlarda gucu dusmez,Olumlu
Hizli deyil,Olumsuz
Bu urunu farkli bi siteden almistim Kesinlikle tavsiye etmem Cok kalitesiz bi urun Plastigi sicaktan eriyor Izgarasinin kulpu kirildi Dugmesi bozuldu Kisaca cop oldu,Olumsuz
acma kapama tusu kotu su koyulacak yer cok dar tutacak bukulmediginden su koymak zor s sus icin yapilmis kullanisli degil,Olumsuz
Buhari cok iyi kirisik azaltmasi cok etkili Tavsiye ediyorum Pisman etmeyen bir urun,Olumlu
Urunu aldim ve kullaniyorum cok ses yapiyor bircok ozellik yazmislar suslemisler ama bu parayi hak etmiyor almayin tavsiye etmiyor salonun bir kosesinde sus niyetine durucak,Olumsuz
Olumlu yonleri mutfakta bir kenarda  el altinda olmasi  hayatimi kolaylastirdiince halimi havaya kaldiracak kadar guclu oncesinde de anneme hediye almistim o da memnun kaldi haznesi doldukca bosaltiyorum hicbir sorun yasamadim,Olumlu
"En son ayarda calistirmama ragmen yag yeterince isinmiyor ve patates yag
cekiyorayrica urun faturasi da yok",Olumsuz
"Klavye calisiyor Fakat mouse bozuk cikti Ne yaptiysam calismiyor
Ayrica hediye mouse pad kat kat kirismis Islevselligini kaybetmis
Ayrica mouse pad hic gondermeseniz daha iyiymis Hayatimda bu kadar
dandik birsey gormedim Ciddi anlamda parasini haketmiyor Sirf klavye
lazim diye iade etmedim Ama kesinlikle ne urunu ne de bu magazayi
onermiyorum Hayal kirikligi",Olumsuz
FIRINDA TURBO FAN YOK BUNA DIKKAT EDEREK ALIN,Tarafsız
telefonu alali yaklasik bir sene oluyor mi  prime acik konusmak gerekirse ilk bir kac ay dan sonra hic memnun degilim sebepleri sarz konusunda ful iken online oyun oynamaya baslarsaniz iki saatin sonra komple sarz bitmis oluyor bana yarim gun anca yetiyor oyun oynayanlara kesinilikle tavsiye etmem ve hizli sarz vardi evet dedigim gibi alali bir sene oldu ve suanda sarz fullenmesi yaklasik   saat suruyor evet yanlis duymadiniz yaninizda surekli powerbank ile gezmek zorunda kalirsiniz bir diger sebep telefon kendi kendine kapaniyor zaman zaman on kamerasi berbat arka kamerada gideri var hafizasina gelince sozum yok gercekten benim  gb onlarca uygulama yuklememe ragmen bi bu kadar daha yuklerim diye dusunuyorum kisacasi olumlu yonleri hafizasi goruntusu ses kalitesi oyun grafikleri ve hizli olmasi olumsuz yonleride dedigim gibi sarz in cabuk bitip gec dolmasi ara ara kapanmasi kamerasisunu da soyliyim ozellik olarak iphone ile kiyaslanir ama samsung ile kiyaslamniz imkansiz,Tarafsız
cok basarisiz bir urun hic memnun degilim,Olumsuz
